"REF_DATE","GEO","DGUID","Supply and disposition of sheep and lambs","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Newfoundland and Labrador","2016A000210","Commercial slaughter of sheep and lambs, not elsewhere specified","July to December","Head","148","thousands","3","v44184827","3.17.2","0.5","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Sheep and lambs consumed on farms","January to June","Head","148","thousands","3","v44184568","3.18.1","0.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Sheep and lambs consumed on farms","July to December","Head","148","thousands","3","v44184828","3.18.2","0.1","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Farm sales of sheep and lambs to consumers","January to June","Head","148","thousands","3","v44184569","3.19.1","0.7","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Farm sales of sheep and lambs to consumers","July to December","Head","148","thousands","3","v44184829","3.19.2","1.4","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Ending inventory of sheep and lambs","January to June","Head","148","thousands","3","v44184570","3.20.1","7.1","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Ending inventory of sheep and lambs","July to December","Head","148","thousands","3","v44184830","3.20.2","5.1","","","","1"
"2000","Prince Edward Island","2016A000211","Total supply of sheep and lambs","January to June","Head","148","thousands","3","v44184571","4.1.1","6.0","","","","1"
"2000","Prince Edward Island","2016A000211","Total supply of sheep and lambs","July to December","Head","148","thousands","3","v44184831","4.1.2","4.2","","","","1"
"2000","Prince Edward Island","2016A000211","Beginning inventory of sheep and lambs","January to June","Head","148","thousands","3","v44184572","4.2.1","3.1","","","","1"
"2000","Prince Edward Island","2016A000211","Beginning inventory of sheep and lambs","July to December","Head","148","thousands","3","v44184832","4.2.2","3.8","","","","1"
"2000","Prince Edward Island","2016A000211","Lambs born","January to June","Head","148","thousands","3","v44184573","4.3.1","2.9","","","","1"
"2000","Prince Edward Island","2016A000211","Lambs born","July to December","Head","148","thousands","3","v44184833","4.3.2","0.4","","","","1"
"2000","Prince Edward Island","2016A000211","Interprovincial imports (net) of sheep and lambs","January to June","Head","148","thousands","3","v44184574","4.4.1","0.0","","","t","1"
"2000","Prince Edward Island","2016A000211","Interprovincial imports (net) of sheep and lambs","July to December","Head","148","thousands","3","v44184834","4.4.2","0.0","","","t","1"
"2000","Prince Edward Island","2016A000211","International imports of sheep and lambs","January to June","Head","148","thousands","3","v44184575","4.5.1","0.0","","","","1"
"2000","Prince Edward Island","2016A000211","International imports of sheep and lambs","July to December","Head","148","thousands","3","v44184835","4.5.2","0.0","","","","1"
"2000","Prince Edward Island","2016A000211","Total disposition of sheep and lambs","January to June","Head","148","thousands","3","v44184576","4.6.1","2.2","","","","1"
"2000","Prince Edward Island","2016A000211","Total disposition of sheep and lambs","July to December","Head","148","thousands","3","v44184836","4.6.2","1.6","","","","1"
"2000","Prince Edward Island","2016A000211","Deaths and condemnations of sheep and lambs","January to June","Head","148","thousands","3","v44184577","4.7.1","0.5","","","","1"
"2000","Prince Edward Island","2016A000211","Deaths and condemnations of sheep and lambs","July to December","Head","148","thousands","3","v44184837","4.7.2","0.2","","","","1"
"2000","Prince Edward Island","2016A000211","Deaths, sheep","January to June","Head","148","thousands","3","v44184578","4.8.1","0.2","","","","1"
"2000","Prince Edward Island","2016A000211","Deaths, sheep","July to December","Head","148","thousands","3","v44184838","4.8.2","0.1","","","","1"
"2000","Prince Edward Island","2016A000211","Deaths, lambs","January to June","Head","148","thousands","3","v44184579","4.9.1","0.3","","","","1"
"2000","Prince Edward Island","2016A000211","Deaths, lambs","July to December","Head","148","thousands","3","v44184839","4.9.2","0.1","","","","1"
"2000","Prince Edward Island","2016A000211","Condemnations of sheep and lambs","January to June","Head","148","thousands","3","v44184580","4.10.1","0.0","","","","1"
"2000","Prince Edward Island","2016A000211","Condemnations of sheep and lambs","July to December","Head","148","thousands","3","v44184840","4.10.2","0.0","","","","1"
"2000","Prince Edward Island","2016A000211","Interprovincial exports (net) of sheep and lambs","January to June","Head","148","thousands","3","v44184581","4.11.1","1.4","","","t","1"
"2000","Prince Edward Island","2016A000211","Interprovincial exports (net) of sheep and lambs","July to December","Head","148","thousands","3","v44184841","4.11.2","0.6","","","t","1"
"2000","Prince Edward Island","2016A000211","International exports of sheep and lambs","January to June","Head","148","thousands","3","v44184582","4.12.1","0.2","","","","1"
"2000","Prince Edward Island","2016A000211","International exports of sheep and lambs","July to December","Head","148","thousands","3","v44184842","4.12.2","0.3","","","","1"
"2000","Prince Edward Island","2016A000211","Total slaughter of sheep and lambs","January to June","Head","148","thousands","3","v44184583","4.13.1","0.1","","","","1"
"2000","Prince Edward Island","2016A000211","Total slaughter of sheep and lambs","July to December","Head","148","thousands","3","v44184843","4.13.2","0.5","","","","1"
"2000","Prince Edward Island","2016A000211","Federal Provincial Inspected Slaughter (FPIS)","January to June","Head","148","thousands","3","v44184584","4.14.1","0.0","","","","1"
