DGUID,Apples (m2),"Blueberries, total (m2)",Cranberries (m2),Grapes (m2),Pears (m2),Plums and prunes (m2),Raspberries (m2),Strawberries (m2),Cherries (m2),year,CD,Apples (Fruit kg),Apples (Fruit kg P),"Asparagus, producing (Total kg P)",Pears (Fruit kg),Pears (Fruit kg P),Plums and prunes (Fruit kg),Plums and prunes (Fruit kg P),Grapes (Fruit kg),Grapes (Fruit kg P),Strawberries (Fruit kg),Strawberries (Fruit kg P),Raspberries (Fruit kg),Raspberries (Fruit kg P),Cranberries (Fruit kg),Cranberries (Fruit kg P),"Blueberries, total (Fruit kg)","Blueberries, total (Fruit kg P)",Cherries (Fruit kg),Cherries (Fruit kg P)
2021A00032475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540000.0,0.0,2021,2479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507600.0,116.74799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021A00032490,0.0,1990000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,2490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238800.0,28.656,0.0,0.0
2021A00032491,0.0,43520000.0,0.0,0.0,0.0,170000.0,0.0,0.0,20000.0,2021,2491,0.0,0.0,0.6956,0.0,0.0,23987.0,4.7974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5222400.0,626.688,3478.0,0.6956
