"REF_DATE","GEO","DGUID","Supply and disposition of cattle","Survey date","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","New Brunswick","2016A000213","Slaughter of cattle","January to June","Head","148","thousands","3","v41123438","7.7.1","11.1","","","","1"
"2000","New Brunswick","2016A000213","Slaughter of cattle","July to December","Head","148","thousands","3","v41123439","7.7.2","9.5","","","","1"
"2000","New Brunswick","2016A000213","Interprovincial exports of cattle","January to June","Head","148","thousands","3","v41123440","7.8.1","7.2","","","","1"
"2000","New Brunswick","2016A000213","Interprovincial exports of cattle","July to December","Head","148","thousands","3","v41123441","7.8.2","3.5","","","","1"
"2000","New Brunswick","2016A000213","International exports of cattle","January to June","Head","148","thousands","3","v41123442","7.9.1","0.7","","","","1"
"2000","New Brunswick","2016A000213","International exports of cattle","July to December","Head","148","thousands","3","v41123443","7.9.2","0.5","","","","1"
"2000","New Brunswick","2016A000213","Deaths and condemnations of cattle","January to June","Head","148","thousands","3","v41123444","7.10.1","2.5","","","","1"
"2000","New Brunswick","2016A000213","Deaths and condemnations of cattle","July to December","Head","148","thousands","3","v41123445","7.10.2","2.7","","","","1"
"2000","New Brunswick","2016A000213","Ending inventory of cattle","January to June","Head","148","thousands","3","v41123446","7.11.1","93.5","","","","1"
"2000","New Brunswick","2016A000213","Ending inventory of cattle","July to December","Head","148","thousands","3","v41123447","7.11.2","92.0","","","","1"
"2000","Quebec","2016A000224","Total supply of cattle","January to June","Head","148","thousands","3","v41123448","8.1.1","1687.2","","","","1"
"2000","Quebec","2016A000224","Total supply of cattle","July to December","Head","148","thousands","3","v41123449","8.1.2","1601.5","","","","1"
"2000","Quebec","2016A000224","Beginning inventory of cattle","January to June","Head","148","thousands","3","v41123450","8.2.1","1256.5","","","","1"
"2000","Quebec","2016A000224","Beginning inventory of cattle","July to December","Head","148","thousands","3","v41123451","8.2.2","1335.0","","","","1"
"2000","Quebec","2016A000224","Calves born","January to June","Head","148","thousands","3","v41123452","8.3.1","380.2","","","","1"
"2000","Quebec","2016A000224","Calves born","July to December","Head","148","thousands","3","v41123453","8.3.2","208.5","","","","1"
"2000","Quebec","2016A000224","Interprovincial imports of cattle","January to June","Head","148","thousands","3","v41123454","8.4.1","26.9","","","","1"
"2000","Quebec","2016A000224","Interprovincial imports of cattle","July to December","Head","148","thousands","3","v41123455","8.4.2","32.7","","","","1"
"2000","Quebec","2016A000224","International imports of cattle","January to June","Head","148","thousands","3","v41123456","8.5.1","23.6","","","","1"
